60,2012,5,27,29.884
65,2012,5,25,20.085
70,2012,5,10,12.805
75,2012,5,5,12.272
80,2012,5,11,10.865
85,2012,5,3,4.9298
90,2012,5,3,1.9496
95,2012,5,0,6.8524
-1,2012,6,25,21.756
0,2012,6,12,31.139
5,2012,6,11,9.5798
10,2012,6,12,14.398
15,2012,6,129,141.23
20,2012,6,250,223.4
25,2012,6,199,193.02
30,2012,6,162,147.74
35,2012,6,98,104.85
40,2012,6,98,92.462
45,2012,6,64,83.267
50,2012,6,66,70.805
55,2012,6,45,47.011
60,2012,6,29,31.183
65,2012,6,21,21.305
70,2012,6,12,14.487
75,2012,6,8,10.578
80,2012,6,8,11.545
85,2012,6,4,5.0079
90,2012,6,1,2.6284
95,2012,6,0,5.2296
-1,2012,7,28,20.207
0,2012,7,28,32.351
5,2012,7,13,10.941
10,2012,7,23,15.464
15,2012,7,176,135.51
20,2012,7,252,255.22
25,2012,7,226,206.87
30,2012,7,185,154.59
35,2012,7,136,109.81
40,2012,7,89,98.577
45,2012,7,70,77.787
50,2012,7,78,74.959
55,2012,7,54,46.917
60,2012,7,40,31.39
65,2012,7,20,20.618
70,2012,7,11,12.276
75,2012,7,14,10.638
80,2012,7,11,10.692
85,2012,7,4,6.7038
90,2012,7,3,2.7793
95,2012,7,0,6.0991
-1,2012,8,28,23.082
0,2012,8,43,28.324
5,2012,8,5,10.796
10,2012,8,10,16.063
15,2012,8,131,141.32
20,2012,8,230,233.28
25,2012,8,203,212.94
30,2012,8,153,156.46
35,2012,8,113,122.82
40,2012,8,106,95.602
45,2012,8,98,77.85
50,2012,8,78,71.542
55,2012,8,51,51.483
60,2012,8,45,31.587
65,2012,8,24,21.616
70,2012,8,11,12.878
75,2012,8,9,10.386
80,2012,8,7,10.195
85,2012,8,8,4.8509
90,2012,8,2,3.2616
95,2012,8,0,6.0736
-1,2012,9,13,24.537
0,2012,9,23,31.616
5,2012,9,7,11.793
10,2012,9,9,16.138
15,2012,9,138,125.46
20,2012,9,228,229.24
25,2012,9,222,184.79
30,2012,9,138,142.38
35,2012,9,128,109.78
40,2012,9,102,95.056
45,2012,9,76,83.041
50,2012,9,96,69.936
